method,maxsize,instance,time,objective
mincut,20,N-t70f11xx_150,3.1074297428131104,4802567
mincut,20,N-t70l11xx_150,1.7072625160217283,416252
mincut,20,N-t70n11xx_150,3.153948783874512,892673
mincut,20,N-t74d11xx_150,3.528060913085937,8720886
mincut,20,N-t75d11xx_150,3.5604054927825928,8936204
mincut,20,N-t75e11xx_150,3.555651903152466,39275037
mincut,20,N-t75k11xx_150,3.019906759262085,1420703
mincut,20,N-t75n11xx_150,3.1166880130767822,1633859
mincut,20,N-tiw56n54_150,3.342287302017212,787713
mincut,20,N-tiw56n58_150,3.34314227104187,1078395
mincut,20,N-tiw56n62_150,3.4329733848571777,1509483
mincut,20,N-tiw56n66_150,3.489499092102051,1970676
mincut,20,N-tiw56n67_150,3.490740299224853,2217018
mincut,20,N-tiw56n72_150,3.563690185546875,3843827
mincut,20,N-tiw56r54_150,3.2510783672332764,906210
mincut,20,N-tiw56r58_150,3.391141891479492,1141171
mincut,20,N-tiw56r66_150,3.498506546020508,1798027
mincut,20,N-tiw56r67_150,3.498704195022583,1927048
mincut,20,N-tiw56r72_150,3.4928953647613525,2641274
mincut,30,N-be75eec_150,3.1689257621765137,3271433
mincut,30,N-be75np_150,3.3407516479492188,6779186
mincut,30,N-be75oi_150,2.611702442169189,2183965
mincut,30,N-be75tot_150,3.663482666015625,11513204
mincut,30,N-stabu1_150,3.47760009765625,2713539
mincut,30,N-stabu2_150,3.3838820457458496,4063288
mincut,30,N-stabu3_150,3.3178958892822266,4252216
mincut,30,N-t59b11xx_150,2.466233015060425,3031000
mincut,30,N-t59d11xx_150,2.6608872413635254,1356872
mincut,30,N-t59f11xx_150,2.569673538208008,1430439
mincut,30,N-t59n11xx_150,2.5856847763061523,301413
mincut,30,N-t65b11xx_150,3.258659601211548,6088213
mincut,30,N-t65d11xx_150,3.2876639366149902,3300198
mincut,30,N-t65f11xx_150,3.363642930984497,2948810
mincut,30,N-t65l11xx_150,1.5211541652679443,243433
mincut,30,N-t65n11xx_150,3.122208833694458,523049
mincut,30,N-t69r11xx_150,2.964488983154297,11139204
mincut,30,N-t70b11xx_150,3.2034671306610107,9160989
mincut,30,N-t70d11xn_150,3.620207071304321,5438352
mincut,30,N-t70d11xx_150,3.725525140762329,5788304
mincut,30,N-t70f11xx_150,3.228494644165039,4814686
mincut,30,N-t70l11xx_150,1.7666285037994385,416725
mincut,30,N-t70n11xx_150,3.283301591873169,893939
mincut,30,N-t74d11xx_150,3.618727922439575,8739871
mincut,30,N-t75d11xx_150,3.653419971466065,8979942
mincut,30,N-t75e11xx_150,3.609664440155029,39379249
